episode_id,split,primary_cause,request_rate,latency,error_rate,db_latency
train-normal-10,train,none,332.74285714285713,261.1571428571429,1.0080000000000002,94.88571428571427
train-normal-11,train,none,427.0,180.08571428571426,1.1825714285714284,66.07142857142857
train-normal-12,train,none,296.8,224.8714285714286,1.1035714285714284,72.01428571428572
train-normal-13,train,none,358.5142857142858,258.87142857142857,0.8735714285714284,93.52857142857144
train-normal-14,train,none,446.59999999999997,192.81428571428575,0.8418571428571427,63.942857142857136
train-normal-15,train,none,305.95714285714286,227.79999999999998,1.2257142857142855,79.21428571428571
train-normal-16,train,none,342.38571428571424,250.17142857142858,1.2075714285714285,91.47142857142858
train-normal-17,train,none,435.5857142857143,181.28571428571428,1.2315714285714283,63.47142857142857
train-normal-18,train,none,298.87142857142857,213.5142857142857,0.9444285714285714,70.88571428571429
train-normal-19,train,none,373.1,256.07142857142856,1.0332857142857141,86.27142857142857
validation-normal-30,validation,none,346.0,257.35714285714283,1.0062857142857142,92.85714285714286
validation-normal-31,validation,none,464.19999999999993,185.58571428571426,1.009857142857143,63.028571428571425
validation-normal-32,validation,none,302.41428571428565,216.72857142857143,1.0408571428571427,74.32857142857142
validation-normal-33,validation,none,340.7142857142857,258.5571428571429,1.1522857142857144,92.92857142857143
validation-normal-34,validation,none,455.57142857142856,187.28571428571428,0.9785714285714285,68.11428571428571
test-normal-50,test,none,366.57142857142856,254.05714285714288,1.0762857142857143,95.92857142857143
test-normal-51,test,none,436.87142857142857,187.57142857142858,1.291857142857143,66.65714285714286
test-normal-52,test,none,302.2857142857143,212.91428571428574,0.9270000000000002,73.32857142857142
test-normal-53,test,none,362.50000000000006,254.44285714285715,1.0618571428571428,93.48571428571428
test-normal-54,test,none,479.61428571428576,180.58571428571426,1.3697142857142859,64.78571428571429
validation-traffic_spike-100,validation,traffic_surge,485.69714285714286,246.29999999999998,1.0659999999999998,91.82857142857142
validation-traffic_spike-101,validation,traffic_surge,768.2761428571429,187.90000000000003,0.9431428571428572,61.8
validation-traffic_spike-102,validation,traffic_surge,413.4118571428571,213.27142857142857,1.1554285714285715,73.32857142857142
validation-traffic_spike-103,validation,traffic_surge,640.0248571428572,241.3857142857143,1.1185714285714285,96.44285714285715
validation-traffic_spike-104,validation,traffic_surge,601.7841428571428,181.34285714285713,1.1305714285714286,66.54285714285713
validation-traffic_spike-105,validation,traffic_surge,527.2134285714286,215.6142857142857,1.1905714285714286,71.91428571428571
validation-traffic_spike-106,validation,traffic_surge,490.1137142857143,252.85714285714286,1.1147142857142855,91.94285714285715
validation-traffic_spike-107,validation,traffic_surge,734.8845714285715,181.01428571428573,1.087142857142857,68.84285714285714
validation-traffic_spike-108,validation,traffic_surge,412.2664285714286,229.42857142857142,1.1905714285714286,75.75714285714287
validation-traffic_spike-109,validation,traffic_surge,619.8850000000001,255.1285714285714,1.3101428571428573,91.8
validation-latency_increase-100,validation,service_delay,424.4857142857142,263.8588571428571,1.0659999999999998,65.82857142857144
validation-latency_increase-101,validation,service_delay,301.1714285714285,436.6277142857143,0.9431428571428572,69.79999999999998
validation-latency_increase-102,validation,service_delay,357.0428571428571,365.151,1.1554285714285715,91.32857142857142
validation-latency_increase-103,validation,service_delay,438.04285714285714,341.8667142857143,1.1185714285714285,70.44285714285715
validation-latency_increase-104,validation,service_delay,301.1,318.5185714285714,1.1305714285714286,74.54285714285713
validation-latency_increase-105,validation,service_delay,356.6142857142857,488.533,1.1905714285714286,89.91428571428571
validation-latency_increase-106,validation,service_delay,428.57142857142856,271.02085714285715,1.1147142857142855,65.94285714285715
validation-latency_increase-107,validation,service_delay,287.9,420.46171428571427,1.087142857142857,76.84285714285714
validation-latency_increase-108,validation,service_delay,356.04285714285714,392.8222857142858,1.1905714285714286,93.75714285714287
validation-latency_increase-109,validation,service_delay,424.37142857142857,361.74485714285714,1.3101428571428573,65.8
validation-database_slowdown-100,validation,database_slowdown,293.85714285714283,289.48157142857144,2.5165714285714285,114.75957142857143
validation-database_slowdown-101,validation,database_slowdown,359.74285714285713,446.85242857142856,3.844285714285714,185.18557142857142
validation-database_slowdown-102,validation,database_slowdown,431.7714285714286,244.3552857142857,2.6060000000000003,101.37357142857142
validation-database_slowdown-103,validation,database_slowdown,303.25714285714287,358.94971428571426,4.019714285714286,165.32614285714286
validation-database_slowdown-104,validation,database_slowdown,359.65714285714284,340.5657142857143,2.5811428571428574,143.85014285714286
validation-database_slowdown-105,validation,database_slowdown,431.2714285714286,312.8607142857143,4.091714285714285,134.76657142857144
validation-database_slowdown-106,validation,database_slowdown,296.7,297.27257142857144,2.5652857142857144,114.86257142857143
validation-database_slowdown-107,validation,database_slowdown,343.87142857142857,430.314,3.988285714285714,199.8097142857143
