timestamp,api_id,endpoint,method,status_code,response_time_ms,request_count,cpu_usage,db_latency_ms
2026-07-21T06:00:00+00:00,payments,/payments,POST,200,251.5,408,57.4,97.6
2026-07-21T07:00:00+00:00,payments,/payments,POST,200,249.5,459,56.9,92.9
2026-07-21T08:00:00+00:00,payments,/payments,POST,200,257.3,507,54.3,83.9
2026-07-21T09:00:00+00:00,payments,/payments,POST,200,252.8,518,60.7,80.4
2026-07-21T10:00:00+00:00,payments,/payments,POST,200,250.1,582,59.9,94.0
2026-07-21T11:00:00+00:00,payments,/payments,POST,200,224.1,598,44.9,87.1
2026-07-21T12:00:00+00:00,payments,/payments,POST,200,230.1,624,62.2,84.0
2026-07-21T13:00:00+00:00,payments,/payments,POST,200,271.7,616,61.2,94.8
2026-07-21T14:00:00+00:00,payments,/payments,POST,200,240.4,592,55.7,96.0
2026-07-21T15:00:00+00:00,payments,/payments,POST,200,232.6,580,61.8,103.4
2026-07-21T16:00:00+00:00,payments,/payments,POST,200,253.1,653,50.9,87.7
2026-07-21T17:00:00+00:00,payments,/payments,POST,200,260.2,578,56.4,97.8
2026-07-21T18:00:00+00:00,payments,/payments,POST,200,242.6,573,55.2,85.3
2026-07-21T19:00:00+00:00,payments,/payments,POST,200,270.3,513,54.4,89.7
2026-07-21T20:00:00+00:00,payments,/payments,POST,200,263.5,459,64.0,91.9
2026-07-21T21:00:00+00:00,payments,/payments,POST,200,273.2,488,59.4,83.9
2026-07-21T22:00:00+00:00,payments,/payments,POST,500,396.9,461,67.8,89.1
2026-07-21T23:00:00+00:00,payments,/payments,POST,200,232.0,366,57.2,103.4
2026-07-22T00:00:00+00:00,payments,/payments,POST,200,269.5,272,60.8,87.6
2026-07-22T01:00:00+00:00,payments,/payments,POST,200,233.5,418,55.9,102.9
2026-07-22T02:00:00+00:00,payments,/payments,POST,500,312.8,350,59.1,82.3
2026-07-22T03:00:00+00:00,payments,/payments,POST,200,260.7,439,64.8,81.6
2026-07-22T04:00:00+00:00,payments,/payments,POST,200,220.7,432,63.0,96.7
2026-07-22T05:00:00+00:00,payments,/payments,POST,200,244.4,388,51.8,93.6
2026-07-22T06:00:00+00:00,payments,/payments,POST,200,261.5,390,50.2,88.8
2026-07-22T07:00:00+00:00,payments,/payments,POST,200,254.1,502,52.4,95.7
2026-07-22T08:00:00+00:00,payments,/payments,POST,200,278.1,454,58.4,97.6
2026-07-22T09:00:00+00:00,payments,/payments,POST,200,298.9,527,59.2,89.6
2026-07-22T10:00:00+00:00,payments,/payments,POST,200,265.6,553,64.0,87.9
2026-07-22T11:00:00+00:00,payments,/payments,POST,200,242.6,585,62.4,96.9
2026-07-22T12:00:00+00:00,payments,/payments,POST,200,224.7,590,60.3,91.6
2026-07-22T13:00:00+00:00,payments,/payments,POST,200,243.2,630,60.0,100.1
2026-07-22T14:00:00+00:00,payments,/payments,POST,200,301.2,616,48.7,97.6
2026-07-22T15:00:00+00:00,payments,/payments,POST,200,254.8,685,69.2,88.5
2026-07-22T16:00:00+00:00,payments,/payments,POST,200,256.3,571,56.6,93.6
2026-07-22T17:00:00+00:00,payments,/payments,POST,200,290.6,570,53.0,94.3
2026-07-22T18:00:00+00:00,payments,/payments,POST,200,243.9,491,60.4,97.5
2026-07-22T19:00:00+00:00,payments,/payments,POST,200,246.1,454,64.2,95.7
2026-07-22T20:00:00+00:00,payments,/payments,POST,200,298.4,535,60.8,94.5
2026-07-22T21:00:00+00:00,payments,/payments,POST,200,265.3,448,60.9,88.2
2026-07-22T22:00:00+00:00,payments,/payments,POST,200,268.1,369,46.4,89.3
